ProductID,party_code,party_name,SKU,Name,STOCK,Price,com_disc_amt,net_retail,hdept_code,Parent,hitem_code,Child
36708,2005,AAMIR SHAHZAD TOYS SHAHALIM,36708.0,TOP NEW LISTING MODEL CAR NO74,0.0,1120.0,0.0,1120.0,3.0,Baby Products,315,TOYS
36760,2005,AAMIR SHAHZAD TOYS SHAHALIM,36760.0,TOP RACING CAR NO2618-,0.0,790.0,0.0,790.0,3.0,Baby Products,315,TOYS
31979,2005,AAMIR SHAHZAD TOYS SHAHALIM,31979.0,TOP RACING CAR NO8005-3,0.0,1585.0,,1585.0,3.0,Baby Products,315,TOYS
31981,2005,AAMIR SHAHZAD TOYS SHAHALIM,31981.0,TOP SPEED CAR I8 767R3,0.0,2295.0,,2295.0,3.0,Baby Products,315,TOYS
64082,2005,AAMIR SHAHZAD TOYS SHAHALIM,43560.0,TOUCH SMART PHONE TOYS 3D TOUCH 1162,0.0,295.0,0.0,295.0,3.0,Baby Products,315,TOYS
57001,2005,AAMIR SHAHZAD TOYS SHAHALIM,57001.0,TOY BRICKS SIX DIMENSIONAL  NO QI ZUAN,0.0,565.0,,565.0,3.0,Baby Products,315,TOYS
46022,2005,AAMIR SHAHZAD TOYS SHAHALIM,46040.0,TOY GUN,6.0,1190.0,,1190.0,3.0,Baby Products,315,TOYS
36735,2005,AAMIR SHAHZAD TOYS SHAHALIM,36735.0,TOY GUNS ELECTRIC DARTLE NO.HT9914-1,0.0,1665.0,0.0,1665.0,3.0,Baby Products,315,TOYS
30993,2005,AAMIR SHAHZAD TOYS SHAHALIM,11073.0,TOY STORY 4+3 SPACE BLASTER,1.0,690.0,0.0,690.0,3.0,Baby Products,315,TOYS
59307,2005,AAMIR SHAHZAD TOYS SHAHALIM,59307.0,TOYS 4 HEROS SPIDER+BATMAN+ MIX,0.0,245.0,,245.0,3.0,Baby Products,315,TOYS
64020,2005,AAMIR SHAHZAD TOYS SHAHALIM,43521.0,TOYS ANIMAL FUNNY ZOO WATER GAME,0.0,199.0,0.0,199.0,3.0,Baby Products,315,TOYS
59290,2005,AAMIR SHAHZAD TOYS SHAHALIM,58290.0,TOYS BALOON INFLAT,0.0,250.0,,250.0,3.0,Baby Products,315,TOYS
59292,2005,AAMIR SHAHZAD TOYS SHAHALIM,58292.0,TOYS BEN10 ALIEN FORCE PIANO MUSIC,0.0,199.0,,199.0,3.0,Baby Products,315,TOYS
28851,2005,AAMIR SHAHZAD TOYS SHAHALIM,8851.0,TOYS CAR 6PCS,0.0,235.0,,235.0,3.0,Baby Products,315,TOYS
59289,2005,AAMIR SHAHZAD TOYS SHAHALIM,58289.0,TOYS CITY BUS 4PCS SET,0.0,195.0,,195.0,3.0,Baby Products,315,TOYS
60980,2005,AAMIR SHAHZAD TOYS SHAHALIM,60681.0,TOYS DOLL KEY CHIN,1.0,425.0,0.0,425.0,3.0,Baby Products,315,TOYS
60977,2005,AAMIR SHAHZAD TOYS SHAHALIM,60679.0,TOYS DOLL KEY CHIN NO16-P3,0.0,690.0,0.0,690.0,3.0,Baby Products,315,TOYS
36746,2005,AAMIR SHAHZAD TOYS SHAHALIM,36746.0,TOYS DOREAMON PHONE,1.0,160.0,0.0,160.0,3.0,Baby Products,315,TOYS
47051,2005,AAMIR SHAHZAD TOYS SHAHALIM,47051.0,TOYS FROZEN HELLO PHONE SET,1.0,460.0,,460.0,3.0,Baby Products,315,TOYS
28850,2005,AAMIR SHAHZAD TOYS SHAHALIM,58525.0,TOYS FRUITS 58525,1.0,425.0,,425.0,3.0,Baby Products,315,TOYS
59293,2005,AAMIR SHAHZAD TOYS SHAHALIM,58293.0,TOYS GUN,2.0,290.0,,290.0,3.0,Baby Products,315,TOYS
68511,2005,AAMIR SHAHZAD TOYS SHAHALIM,68510.0,TOYS GUN  YESHENG YS328,3.0,299.0,0.0,299.0,3.0,Baby Products,315,TOYS
69252,2005,AAMIR SHAHZAD TOYS SHAHALIM,69252.0,TOYS GUN AIL GUN SERIES OP6MM,5.0,150.0,0.0,150.0,3.0,Baby Products,315,TOYS
59306,2005,AAMIR SHAHZAD TOYS SHAHALIM,58306.0,TOYS GUN GUN SERIES NO JG303,0.0,330.0,,330.0,3.0,Baby Products,315,TOYS
47031,2005,AAMIR SHAHZAD TOYS SHAHALIM,47030.0,TOYS GUN LARGE,3.0,499.0,,499.0,3.0,Baby Products,315,TOYS
68519,2005,AAMIR SHAHZAD TOYS SHAHALIM,68518.0,TOYS GUN M1058 L,-1.0,590.0,0.0,590.0,3.0,Baby Products,315,TOYS
59236,2005,AAMIR SHAHZAD TOYS SHAHALIM,59236.0,TOYS GUN MP5579,-4.0,445.0,,445.0,3.0,Baby Products,315,TOYS
59305,2005,AAMIR SHAHZAD TOYS SHAHALIM,58305.0,TOYS GUN NO 989-18A,2.0,1045.0,,1045.0,3.0,Baby Products,315,TOYS
59304,2005,AAMIR SHAHZAD TOYS SHAHALIM,58304.0,TOYS GUN NO M509W,1.0,1145.0,,1145.0,3.0,Baby Products,315,TOYS
47030,2005,AAMIR SHAHZAD TOYS SHAHALIM,46986.0,TOYS GUN NO194,1.0,499.0,,499.0,3.0,Baby Products,315,TOYS
57017,2005,AAMIR SHAHZAD TOYS SHAHALIM,57017.0,TOYS GUN S,3.0,275.0,,275.0,3.0,Baby Products,315,TOYS
68514,2005,AAMIR SHAHZAD TOYS SHAHALIM,68513.0,TOYS GUN SILVER NO1058,0.0,525.0,0.0,525.0,3.0,Baby Products,315,TOYS
60983,2005,AAMIR SHAHZAD TOYS SHAHALIM,60683.0,TOYS HORSE,2.0,340.0,0.0,340.0,3.0,Baby Products,315,TOYS
64044,2005,AAMIR SHAHZAD TOYS SHAHALIM,53528.0,TOYS IN BAG NO605,0.0,0.0,0.0,0.0,3.0,Baby Products,315,TOYS
64048,2005,AAMIR SHAHZAD TOYS SHAHALIM,6936200000000.0,TOYS IN BAG NO6718,20.0,590.0,0.0,590.0,3.0,Baby Products,315,TOYS
64047,2005,AAMIR SHAHZAD TOYS SHAHALIM,6997870000000.0,TOYS IN BAG YZ NO889-9,0.0,570.0,0.0,570.0,3.0,Baby Products,315,TOYS
59220,2005,AAMIR SHAHZAD TOYS SHAHALIM,59219.0,TOYS KITCHEN SET,0.0,290.0,,290.0,3.0,Baby Products,315,TOYS
