ProductID,party_code,party_name,SKU,Name,STOCK,Price,com_disc_amt,net_retail,hdept_code,Parent,hitem_code,Child
5869,1267,SONY BRAND,8562007642.0,SONY CR2032,14.0,45.0,0.0,45.0,6.0,Household,615,Household Products
5867,1267,SONY BRAND,8562006461.0,SONY STAMINA PLUS AA,0.0,260.0,0.0,260.0,6.0,Household,615,Household Products
12674,1267,SONY BRAND,6937590000000.0,-KBF -7930 9 LED FLASHLIGHTS,0.0,399.0,0.0,399.0,6.0,Household,626,Lights
12676,1267,SONY BRAND,6937590000000.0,KBF 802 8 LED FLASHLIGHTS,0.0,355.0,0.0,355.0,6.0,Household,626,Lights
12675,1267,SONY BRAND,6937590000000.0,KBF-803 4 LED FLASHLIGHTS,0.0,255.0,0.0,255.0,6.0,Household,626,Lights
12677,1267,SONY BRAND,6937590000000.0,KONNOC POCKET STANDARD CHARGER KT 006,0.0,300.0,0.0,300.0,6.0,Household,626,Lights
12679,1267,SONY BRAND,6937590000000.0,KONOOC T027 STANDARD CHARGER,0.0,299.0,0.0,299.0,6.0,Household,626,Lights
22858,1752,SPECIAL BREAD &BAKERS,22858.0,SPL BREAD SMALL ALL,2.0,35.0,,35.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22862,1752,SPECIAL BREAD &BAKERS,22862.0,SPL BURGER 4PCS ROUND LONG,-2.0,38.0,,38.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22866,1752,SPECIAL BREAD &BAKERS,22866.0,SPL BUTTER RUSK LARGE,0.0,90.0,,90.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22867,1752,SPECIAL BREAD &BAKERS,22867.0,SPL BUTTER RUSK SMALL,0.0,48.0,,48.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22860,1752,SPECIAL BREAD &BAKERS,22860.0,SPL FRUIT BUN,0.0,14.0,,14.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22859,1752,SPECIAL BREAD &BAKERS,22859.0,SPL MARSHAL BREAD LARGE,0.0,70.0,,70.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22864,1752,SPECIAL BREAD &BAKERS,22864.0,SPL RUSK LARGE SLICE&ROUND,0.0,80.0,,80.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22865,1752,SPECIAL BREAD &BAKERS,22865.0,SPL RUSK SMALL SLICE&ROUND,0.0,42.0,,42.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22578,1752,SPECIAL BREAD &BAKERS,22578.0,SPL SANDWICH BREAD,0.0,80.0,,80.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22868,1752,SPECIAL BREAD &BAKERS,22868.0,SPL SHAWARMA 4PCS,0.0,40.0,,40.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22861,1752,SPECIAL BREAD &BAKERS,22861.0,SPL SHEER MALL,0.0,20.0,,20.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22863,1752,SPECIAL BREAD &BAKERS,22863.0,SPL SPECIAL ROUND BURGER 4PCS,0.0,40.0,,40.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
22579,1752,SPECIAL BREAD &BAKERS,22579.0,SPL WHITE LARGE BREAD,0.0,65.0,,65.0,9.0,Bakery,701,"BREAD,BURGER,MUFFIN&CAKES"
23021,1752,SPECIAL BREAD &BAKERS,23021.0,SPL BURGER BUN ROUND 2PCS,0.0,23.0,,23.0,9.0,Bakery,704,sandiwich burgar
57419,2983,SPOT DISTRIBUTORS,923218000000.0,CARE BABY BABY DIAPER L 80PCS,10.0,2900.0,0.0,2900.0,3.0,Baby Products,304,Pamper
57418,2983,SPOT DISTRIBUTORS,923218000000.0,CARE BABY BABY DIAPER M 88PCS,20.0,2900.0,0.0,2900.0,3.0,Baby Products,304,Pamper
