ProductID,party_code,party_name,SKU,Name,STOCK,Price,com_disc_amt,net_retail,hdept_code,Parent,hitem_code,Child
41405,2795,NAWAB PLASTIC SHAHALMI,5045.0,TFW STORAGE BOX,0.0,190.0,,190.0,6.0,Household,615,Household Products
44240,2795,NAWAB PLASTIC SHAHALMI,1034240000000.0,TISSUE ROLL BOX,0.0,160.0,,160.0,6.0,Household,615,Household Products
75863,2795,NAWAB PLASTIC SHAHALMI,75863.0,TPW PIONEAR STORAGE BOX 1P,0.0,460.0,0.0,460.0,6.0,Household,615,Household Products
75864,2795,NAWAB PLASTIC SHAHALMI,75864.0,TPW PIONEAR STORAGE BOX XL,14.0,550.0,0.0,550.0,6.0,Household,615,Household Products
76728,2795,NAWAB PLASTIC SHAHALMI,76728.0,TRW PIONEER MICRO BOX L,1.0,560.0,0.0,560.0,6.0,Household,615,Household Products
76727,2795,NAWAB PLASTIC SHAHALMI,76727.0,TRW PIONEER MICRO BOX M,3.0,490.0,0.0,490.0,6.0,Household,615,Household Products
76726,2795,NAWAB PLASTIC SHAHALMI,76726.0,TRW PIONEER MICRO BOX S,1.0,390.0,0.0,390.0,6.0,Household,615,Household Products
52512,2795,NAWAB PLASTIC SHAHALMI,52250.0,TRW STORAGE BOX POINEER ROUND BOX 3PCS,3.0,990.0,0.0,990.0,6.0,Household,615,Household Products
52511,2795,NAWAB PLASTIC SHAHALMI,52249.0,TRW STORAGE BOX RECTANGL 3IN1,-1.0,565.0,,565.0,6.0,Household,615,Household Products
59068,2795,NAWAB PLASTIC SHAHALMI,58944.0,UNIQUE NOVEL GLASS STAND,2.0,200.0,,200.0,6.0,Household,615,Household Products
73795,2795,NAWAB PLASTIC SHAHALMI,73795.0,V LOCK ISMAIL PLASTIC BOWL,1.0,80.0,0.0,80.0,6.0,Household,615,Household Products
70373,2795,NAWAB PLASTIC SHAHALMI,2526896542.0,VIOLET SALT SHAKER F1001,0.0,265.0,0.0,265.0,6.0,Household,615,Household Products
63647,2795,NAWAB PLASTIC SHAHALMI,63647.0,VONEL JAR NO63 500ML,0.0,260.0,0.0,260.0,6.0,Household,615,Household Products
70353,2795,NAWAB PLASTIC SHAHALMI,70353.0,WATER BOTTLE APPLE DETOX,0.0,345.0,0.0,345.0,6.0,Household,615,Household Products
70348,2795,NAWAB PLASTIC SHAHALMI,8964000000000.0,WATER BOTTLE F16 2PCS,9.0,250.0,0.0,250.0,6.0,Household,615,Household Products
