ProductID,party_code,party_name,SKU,Name,STOCK,Price,com_disc_amt,net_retail,hdept_code,Parent,hitem_code,Child
24736,1778,IBL HEINZ CANDERL COMPLAN,6290090000000.0,COMPLAN GLUCON D PLUS TAAZA LIMU 325+25G,0.0,125.0,,125.0,1.0,Groceries,114,HOT DRINKS COMPLAN HORLICKS MILO ECT
24734,1778,IBL HEINZ CANDERL COMPLAN,6290090000000.0,COMPLAN GLUCON D PLUS TAAZA LIMU 325GM J,0.0,175.0,,175.0,1.0,Groceries,114,HOT DRINKS COMPLAN HORLICKS MILO ECT
23971,1778,IBL HEINZ CANDERL COMPLAN,6290090000000.0,HEINZ TOMATO KETCHUP 1KG BOTTEL,0.0,460.0,,460.0,1.0,Groceries,108,"Ketchup,Sauce"
26667,1778,IBL HEINZ CANDERL COMPLAN,6221030000000.0,HEINZ TOMATO KETCHUP 285GM POUCH,0.0,120.0,,120.0,1.0,Groceries,108,"Ketchup,Sauce"
23972,1778,IBL HEINZ CANDERL COMPLAN,6290090000000.0,HEINZ TOMATO KETCHUP 300GM BOTTEL,2.0,120.0,,120.0,1.0,Groceries,108,"Ketchup,Sauce"
20046,1778,IBL HEINZ CANDERL COMPLAN,6290090000000.0,HEINZ TOMATO KETCHUP 320GM,2.0,110.0,,110.0,1.0,Groceries,108,"Ketchup,Sauce"
23973,1778,IBL HEINZ CANDERL COMPLAN,6221030000000.0,HEINZ TOMATO KETCHUP 513GM BOTTEL,0.0,175.0,,175.0,1.0,Groceries,108,"Ketchup,Sauce"
67931,1778,IBL HEINZ CANDERL COMPLAN,8964000000000.0, PAKOLA  ICE CREAM SODA 345ML,1.0,50.0,0.0,50.0,1.0,Groceries,10,MURREE BREWERY'S DRINKS
18344,1778,IBL HEINZ CANDERL COMPLAN,8964000000000.0,CANDEREL COOK&BAKE 125GM,-3.0,415.0,0.0,415.0,1.0,Groceries,125,"Sugar,gur,sweetness low calories sugar"
24605,1080,IBL KELLOGES,6290090000000.0,FARLEYS MIXED VEGETABLE 120GM,1.0,140.0,,140.0,3.0,Baby Products,312,Baby food
20746,1080,IBL KELLOGES,6290090000000.0,HEINZ NUTRITIOUS BABY BISCUTS 60GM,0.0,70.0,,70.0,9.0,Bakery,702,BISCUTS/WAFER&CAKE
20054,1080,IBL KELLOGES,6290090000000.0,FARLEYS RUSKS 150GM,0.0,240.0,,240.0,2.0,Confectionary,204,Biscuits
20055,1080,IBL KELLOGES,6290090000000.0,FARLEYS RUSKS DATES 300GM,0.0,420.0,,420.0,2.0,Confectionary,204,Biscuits
9943,1080,IBL KELLOGES,5000130000000.0,KELLOGS JUST RIGHT 500GM,0.0,810.0,,810.0,2.0,Confectionary,206,"Chips,Snacks,Nimco&Pringles"
25044,1080,IBL KELLOGES,8886470000000.0,PRINGLES  XTRA CHEESY CHILLI 70GM,0.0,115.0,,115.0,2.0,Confectionary,206,"Chips,Snacks,Nimco&Pringles"
22831,1080,IBL KELLOGES,8886470000000.0,PRINGLES BB.Q CHIPS 70GM,0.0,115.0,,115.0,2.0,Confectionary,206,"Chips,Snacks,Nimco&Pringles"
23229,1080,IBL KELLOGES,8886470000000.0,PRINGLES GARLIC BUTTER110GM,4.0,185.0,,185.0,2.0,Confectionary,206,"Chips,Snacks,Nimco&Pringles"
19340,1080,IBL KELLOGES,8886470000000.0,PRINGLES HOT&SPICY 110GM,3.0,225.0,,225.0,2.0,Confectionary,206,"Chips,Snacks,Nimco&Pringles"
23230,1080,IBL KELLOGES,8886470000000.0,PRINGLES MAYO CHEES 110GM,4.0,135.0,,135.0,2.0,Confectionary,206,"Chips,Snacks,Nimco&Pringles"
21156,1080,IBL KELLOGES,8886470000000.0,PRINGLES SALT&SEAWEED 110GM,0.0,140.0,,140.0,2.0,Confectionary,206,"Chips,Snacks,Nimco&Pringles"
40419,1080,IBL KELLOGES,8886470000000.0,PRINGLES SCO 42GM,-5.0,135.0,,135.0,2.0,Confectionary,206,"Chips,Snacks,Nimco&Pringles"
19339,1080,IBL KELLOGES,8886470000000.0,PRINGLES SMOKY BBQ 110GM,-1.0,225.0,,225.0,2.0,Confectionary,206,"Chips,Snacks,Nimco&Pringles"
4413,1080,IBL KELLOGES,51241.0,CANDEREL 100TABLETS,2.0,92.0,0.0,92.0,5.0,Cosmetics & Health & Beauty,512,General Medicine
4423,1080,IBL KELLOGES,51278.0,CANDEREL 200TABLETS,23.0,160.0,0.0,160.0,5.0,Cosmetics & Health & Beauty,512,General Medicine
18337,1080,IBL KELLOGES,8964000000000.0,CANDEREL COOKING & BAKING JAR 125GM,0.0,250.0,0.0,250.0,5.0,Cosmetics & Health & Beauty,512,General Medicine
60238,1080,IBL KELLOGES,8964000000000.0,APPLE SIDRA 250ML,2.0,81.0,0.0,81.0,12.0,Drinks,901,Can Drinks
63907,1080,IBL KELLOGES,8964000000000.0,FOREST CLUB SODA 250ML,2.0,150.0,0.0,150.0,12.0,Drinks,901,Can Drinks
66864,1080,IBL KELLOGES,899916000000.0,APPLE SIDER APPLE SOFT DRINK 500ML.,5.0,65.0,0.0,65.0,12.0,Drinks,900,Carbonated& Soft drinks
66865,1080,IBL KELLOGES,899916000000.0,PAKOLA LEMON 500ML,3.0,75.0,0.0,75.0,12.0,Drinks,900,Carbonated& Soft drinks
66866,1080,IBL KELLOGES,899916000000.0,PAKOLA LYCHEE 500ML,1.0,80.0,0.0,80.0,12.0,Drinks,900,Carbonated& Soft drinks
66867,1080,IBL KELLOGES,8964000000000.0,VIMTO SPARKLING DRINK 250ML,3.0,80.0,0.0,80.0,12.0,Drinks,900,Carbonated& Soft drinks
67998,1080,IBL KELLOGES,8964000000000.0,PAKOLA CREAM CORDIAL800ML,0.0,300.0,0.0,300.0,12.0,Drinks,906,Squash& Mshroobat
21358,1080,IBL KELLOGES,8964000000000.0,VITAMIN WATER  LEMON LIME 500ML,-1.0,50.0,,50.0,12.0,Drinks,904,Water& Misc
21359,1080,IBL KELLOGES,8964000000000.0,VITAMIN WATER ORANGE 500ML,3.0,50.0,,50.0,12.0,Drinks,904,Water& Misc
10570,1080,IBL KELLOGES,5050080000000.0,KELLOGGS COCO POPS 295GM,0.0,755.0,0.0,755.0,1.0,Groceries,111,Baking
22566,1080,IBL KELLOGES,6290090000000.0,FARLEYS BABABA 120GM,2.0,140.0,,140.0,1.0,Groceries,107,Can Food
20048,1080,IBL KELLOGES,6290090000000.0,FARLEYS 3FRUIT 120GM,0.0,140.0,,140.0,1.0,Groceries,115,Cereals & kelloggs flakes
20050,1080,IBL KELLOGES,6290090000000.0,FARLEYS APPLE BANANA  120GM,0.0,140.0,,140.0,1.0,Groceries,115,Cereals & kelloggs flakes
20052,1080,IBL KELLOGES,6290090000000.0,FARLEYS MIXED FRUIT 120GM,2.0,130.0,,130.0,1.0,Groceries,115,Cereals & kelloggs flakes
5660,1080,IBL KELLOGES,50127030.0,KELLOGGS ALL BRAN  SULTANA BRAN 500G,0.0,840.0,0.0,840.0,1.0,Groceries,115,Cereals & kelloggs flakes
